PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
B3B0A1,B3B,44.7109275,-63.5843455,Dartmouth,B,12,Urban
B3E1A1,B3E,44.72114981,-63.3990184,Lake Echo,B,12,Urban
B3G0A1,B3G,44.60865,-63.472566,Eastern Passage,B,12,Urban
B3H0A1,B3H,44.637687,-63.565755,Halifax,B,12,Urban
B3J0A1,B3J,44.645158,-63.570947,Halifax,B,12,Urban
B3K0A1,B3K,44.669418,-63.603499,Halifax,B,12,Urban
B3L0A1,B3L,44.643401,-63.618879,Halifax,B,12,Urban
B3M0A1,B3M,44.699056,-63.66353,Halifax,B,12,Urban
B3N0A1,B3N,44.509289,-63.936658,Halifax,B,12,Urban
B3P0A1,B3P,44.624174,-63.613644,Halifax,B,12,Urban
B3R0A1,B3R,44.50929,-63.936658,Halifax,B,12,Urban
B3S0A1,B3S,44.6537256,-63.66778739,Halifax,B,12,Urban
B3T0A1,B3T,44.562671,-63.731131,Beechville,B,12,Urban
B3V0A1,B3V,44.5181664,-63.62982892,Williamswood,B,12,Urban
B3Z0A1,B3Z,44.66439369,-63.7894763,Hubley,B,12,Urban
B4A0A1,B4A,44.724263,-63.672653,Bedford,B,12,Urban
B4B0A1,B4B,44.734087,-63.800164,Hammonds Plains,B,12,Urban
B4C0A1,B4C,44.771283,-63.653733,Lower Sackville,B,12,Urban
B4E0A1,B4E,44.79003297,-63.70942989,Lower Sackville,B,12,Urban
B4G0A1,B4G,44.854473,-63.717852,Beaver Bank,B,12,Urban
B4H0A1,B4H,45.815117,-64.229657,Amherst,B,12,Urban
B4N0A1,B4N,45.072866,-64.490507,New Minas,B,12,Urban
B4P0A1,B4P,45.085946,-64.358867,Wolfville,B,12,Urban
B4R1A1,B4R,45.06398826,-64.56314524,Coldbrook,B,12,Urban
B4V0A1,B4V,44.38855,-64.52486,Bridgewater,B,12,Urban
B5A0A1,B5A,43.84165624,-66.10017785,Yarmouth,B,12,Urban
B9A1A1,B9A,45.609569,-61.389632,Port Hawkesbury,B,12,Urban
C0A0B0,C0A,46.373006,-62.713618,Cardigan,C,11,Rural
C0B1A0,C0B,46.318197,-63.558561,Albany,C,11,Rural
C1A0A1,C1A,46.242051,-63.147989,Charlottetown,C,11,Urban
C1B0A2,C1B,46.22025,-63.08752,Stratford,C,11,Urban
C1C0A1,C1C,46.291785,-63.112693,Charlottetown,C,11,Urban
C1E0A1,C1E,46.23150543,-63.13222236,Charlottetown,C,11,Urban
C1N0A1,C1N,46.419864,-63.800228,Summerside,C,11,Urban
E0A1A0,E0A,47.033872,-65.509928,Albert,E,13,Rural
E0B1A0,E0B,47.491206,-65.30754,Allardville,E,13,Rural
E0C1A0,E0C,47.03273,-65.0033,Baie-Ste-Anne,E,13,Rural
E0E1A0,E0E,45.796321,-65.268839,Anagance,E,13,Rural
E0G1A0,E0G,45.795085,-65.67263,Apohaqui,E,13,Rural
E0H1A0,E0H,46.488352,-66.442727,Boiestown,E,13,Rural
E0J1A0,E0J,46.728671,-67.706191,Andover,E,13,Rural
E0K1A0,E0K,47.996839,-66.728801,Atholville,E,13,Rural
E0L1A0,E0L,47.310839,-68.500411,Baker Brook,E,13,Rural
E1A0A1,E1A,46.081507,-64.710265,Dieppe,E,13,Urban
E1B0A1,E1B,46.04753,-64.781857,Riverview,E,13,Urban
E1C0A1,E1C,46.103893,-64.813866,Moncton,E,13,Urban
E1E0A1,E1E,46.118118,-64.73117,Moncton,E,13,Urban
E1G0A1,E1G,46.113013,-64.865611,Moncton,E,13,Urban
E1H0A1,E1H,46.0841395,-64.7929535,Moncton,E,13,Urban
E1J0A1,E1J,45.889687,-64.380861,Lower Coverdale,E,13,Urban
E1N0A1,E1N,47.01234,-65.43217,Miramichi,E,13,Urban
E1V0A1,E1V,47.088726,-65.398738,Lower Newcastle,E,13,Urban
E1W0A2,E1W,47.790396,-64.921875,Caraquet,E,13,Urban
E1X0A1,E1X,47.531511,-64.924602,POINTE-BRULE,E,13,Urban
E2A0A1,E2A,47.666706,-65.552541,Salmon Beach,E,13,Urban
E2E0A1,E2E,45.406078,-65.984297,Rothesay,E,13,Urban
E2G0A1,E2G,45.428488,-65.949276,Quispamsis,E,13,Urban
E2H0A1,E2H,45.347868,-66.003668,Rothesay,E,13,Urban
E2J0A1,E2J,45.262091,-65.949392,Saint John,E,13,Urban
E2K0A1,E2K,45.280271,-66.079455,Saint John,E,13,Urban
E2L0A1,E2L,45.2738,-66.066017,Saint John,E,13,Urban
E2M0A1,E2M,45.279609,-66.062807,Saint John,E,13,Urban
E2N0A1,E2N,45.257623,-66.068898,Saint John,E,13,Urban
E2P0A1,E2P,45.279609,-66.062807,Saint John,E,13,Urban
E2R1A2,E2R,45.273857,-66.01568,Saint John,E,13,Urban
E2S0A1,E2S,45.3053968,-65.84534949,Ben Lomond,E,13,Urban
E2V0A5,E2V,45.861526,-66.448551,Burton,E,13,Urban
E3A0A1,E3A,45.969531,-66.634584,Fredericton,E,13,Urban
E3B0A1,E3B,45.83378502,-66.60186471,Waasis,E,13,Urban
E3C0A2,E3C,45.94465,-66.68987,Fredericton,E,13,Urban
E3E0A1,E3E,45.90701,-66.816111,Hanwell,E,13,Urban
E3L0A1,E3L,45.22407,-67.289422,Crocker Hill,E,13,Urban
E3N0A1,E3N,47.745747,-66.668383,Glenlevit,E,13,Urban
E3V0A1,E3V,47.3653,-68.310739,Edmundston,E,13,Urban
E3Y0A1,E3Y,47.05580839,-67.75256639,Grand Falls,E,13,Urban
E3Z0A1,E3Z,46.922153,-67.736864,Grand-Sault/Grand Falls,E,13,Urban
E4A0A1,E4A,46.17073028,-65.88540248,Chipman,E,13,Urban
E4B0A1,E4B,45.997819,-66.115645,Scotchtown,E,13,Urban
E4C0A1,E4C,45.84635,-66.01588,Cambridge-Narrows,E,13,Urban
E4E0A1,E4E,45.684465,-65.417561,Sussex,E,13,Urban
E4G0A2,E4G,45.912661,-65.431529,Penobsquis,E,13,Urban
E4H0A1,E4H,45.98344851,-65.19451934,Salem,E,13,Urban
E4J0A1,E4J,46.03529,-65.0234,Salisbury,E,13,Urban
E4K0A1,E4K,46.04254,-64.55465,Memramcook,E,13,Urban
E4L0A1,E4L,45.960419,-64.311764,Sackville,E,13,Urban
E4M0A1,E4M,46.112937,-64.025671,Little Shemogue,E,13,Urban
E4N0A1,E4N,46.192161,-64.16233,Petit-Cap,E,13,Urban
E4P0A1,E4P,46.19582,-64.485798,Grand-Barachois,E,13,Urban
E4R0A1,E4R,46.35780959,-64.61443425,Cocagne,E,13,Urban
E4S0A1,E4S,46.480345,-64.793693,Bouctouche,E,13,Urban
E4T0A1,E4T,46.40056,-65.18736,Harcourt,E,13,Urban
E4V0A1,E4V,46.376323,-64.811965,Mckees Mills,E,13,Urban
E4W0A1,E4W,46.502794,-64.915267,South Branch Kent Co,E,13,Urban
E4X0A1,E4X,46.7649,-65.109552,Saint-Louis,E,13,Urban
E4Y0A4,E4Y,46.600193,-65.483487,Rogersville,E,13,Urban
E4Z0A1,E4Z,45.94347,-65.390553,Havelock,E,13,Urban
E5A0A1,E5A,45.270761,-67.18767,Tower Hill,E,13,Urban
E5B0A1,E5B,45.12787775,-66.81973847,Bayside,E,13,Urban
E5C0A1,E5C,45.2753,-66.700855,Utopia,E,13,Urban
E5E0A1,E5E,44.901049,-66.933341,Wilsons Beach,E,13,Urban
E5G0A1,E5G,44.699654,-66.804219,Grand Manan,E,13,Urban
E5H0A1,E5H,45.109554,-66.700684,Beaver Harbour,E,13,Urban
E5J0A1,E5J,45.186974,-66.414479,Little Lepreau,E,13,Urban
E5K0A1,E5K,45.337615,-66.229607,Grand Bay-Westfield,E,13,Urban
E5L0A1,E5L,45.683685,-66.647736,Fredericton Junction,E,13,Urban
E5M0A1,E5M,45.468351,-66.126679,Browns Flat,E,13,Urban
E5N0A0,E5N,45.478832,-65.79445,Willow Grove,E,13,Urban
E5P0A1,E5P,45.720891,-65.745996,Belleisle Creek,E,13,Urban
E5R0A1,E5R,45.36303,-65.530028,Orange Hill,E,13,Urban
E5S0A1,E5S,45.186245,-66.150553,Carters Point,E,13,Urban
E5T0A1,E5T,45.56518,-65.990937,Kars,E,13,Urban
E5V1A1,E5V,45.048111,-66.955616,Lord's Cove,E,13,Urban
E6A1A1,E6A,46.44807,-66.47617,Taxis River,E,13,Urban
E6B0A1,E6B,46.480968,-66.907959,English Settlement,E,13,Urban
E6C1A1,E6C,46.175771,-66.6125,Taymouth,E,13,Urban
E6E1A0,E6E,46.1084078,-67.1638157,Middle Hainesville,E,13,Urban
E6G0A1,E6G,46.003154,-67.233609,Nackawic,E,13,Urban
E6H0A1,E6H,45.83457101,-67.64587248,Eel River Lake,E,13,Urban
E6J0A1,E6J,45.636602,-67.380563,Mcadam,E,13,Urban
E6K0A1,E6K,45.698076,-67.024478,Prince William,E,13,Urban
E6L0A1,E6L,45.99802,-66.82921,Keswick,E,13,Urban
E7A0A1,E7A,47.4388,-68.530901,Baker Brook,E,13,Urban
E7B0A1,E7B,47.423894,-68.393482,Saint-Jacques,E,13,Urban
E7C0A1,E7C,47.488654,-68.033612,Madawaska Maliseet Frst Nation,E,13,Urban
E7E0A1,E7E,47.340961,-67.868397,Notre Dame De Lourdes,E,13,Urban
E7G0A1,E7G,47.04599,-67.217028,New Denmark,E,13,Urban
E7H0A1,E7H,46.741202,-67.705749,Perth-Andover,E,13,Urban
E7J1A1,E7J,46.49798673,-67.57857281,Bath,E,13,Urban
E7K0A1,E7K,46.307734,-67.642009,Avondale,E,13,Urban
E7L0A1,E7L,46.480696,-67.428246,Glassville,E,13,Urban
E7M0A1,E7M,46.20317714,-67.70840707,Belleville,E,13,Urban
E7N0A1,E7N,46.10409,-67.495484,Northampton,E,13,Urban
E7P0A1,E7P,46.34682716,-67.37723881,Carlisle,E,13,Urban
E8A0A2,E8A,47.715617,-67.771086,Saint-Quentin,E,13,Urban
E8B0A1,E8B,47.639011,-67.345953,Kedgwick,E,13,Urban
E8C1A1,E8C,48.047691,-66.400397,Eel River Bar First Nation,E,13,Urban
E8E0A1,E8E,47.736672,-66.493679,Charlo,E,13,Urban
E8G0A1,E8G,47.756625,-66.117623,Sea Side,E,13,Urban
E8J0A1,E8J,47.78329721,-65.72037816,Petit-Rocher,E,13,Urban
E8K0A1,E8K,47.691894,-65.696983,Beresford,E,13,Urban
E8L1A1,E8L,47.588716,-65.097854,Allardville,E,13,Urban
E8M1A1,E8M,47.802226,-65.186153,Bois-Gagnon,E,13,Urban
E8N0A1,E8N,47.806393,-65.213979,Grande Anse,E,13,Urban
E8P0A1,E8P,47.680081,-64.85471,Pokemouche,E,13,Urban
E8R0A1,E8R,47.628707,-65.166937,Val-Doucet,E,13,Urban
E8S0A1,E8S,47.745484,-64.707924,Shippagan,E,13,Urban
E8T0A1,E8T,47.78644968,-64.6917724,Pointe-Alexandre,E,13,Urban
E9A1A1,E9A,46.738552,-65.852813,Baie-Sainte-Anne,E,13,Urban
E9B0A1,E9B,46.619606,-65.76806,Cains River,E,13,Urban
E9C0A1,E9C,46.594438,-65.935702,Blissfield,E,13,Urban
E9E0A1,E9E,47.176734,-66.251456,Doyles Brook,E,13,Urban
E9G0A1,E9G,47.257217,-65.210729,N�GUAC,E,13,Urban
E9H0A1,E9H,47.3420607,-64.99653747,Tabusintac,E,13,Urban
G0A1A0,G0A,46.852397,-72.02586,Sainte-Christine-D'Auvergne,G,24,Rural
G0B1A0,G0B,47.221808,-61.930489,Bassin,G,24,Rural
G0C1A0,G0C,48.612101,-64.340859,Barachois,G,24,Rural
G0E1A0,G0E,48.929801,-64.34378,Anse-Au-Griffon,G,24,Rural
G0G0A6,G0G,52.209441,-63.57285,,G,24,Rural
G0H1A0,G0H,49.403751,-67.310413,BIENFAIT,G,24,Rural
G0J1A0,G0J,49.02261,-66.815835,Albertville,G,24,Rural
G0K1A0,G0K,48.093202,-68.523965,Esprit-Saint,G,24,Rural
G0L0K0,G0L,47.816684,-69.249631,St-Gabriel-De-Kamouraska,G,24,Rural
G0M1A0,G0M,46.20568,-70.832613,Beauceville-Ouest,G,24,Rural
G0N1A0,G0N,46.065105,-71.435195,Black Lake,G,24,Rural
G0P1A0,G0P,45.864106,-71.652267,Ham-Nord,G,24,Rural
G0R1A0,G0R,46.702117,-70.567227,Armagh,G,24,Rural
G0S1A0,G0S,46.263459,-70.792884,Beauceville-Est,G,24,Rural
G0T0L4,G0T,48.764095,-69.722488,Longue Rive,G,24,Rural
G0V1A0,G0V,48.344771,-70.986941,Alouette,G,24,Rural
G0W1A0,G0W,48.885445,-72.443349,Albanel,G,24,Rural
G0X1A0,G0X,46.52742,-72.24385,Batiscan,G,24,Rural
G0Y1A0,G0Y,45.6716,-70.75926,Audet,G,24,Rural
G0Z1A0,G0Z,46.1554695,-72.2012605,Aston-Jonction,G,24,Rural
G1A0A1,G1A,46.8087277,-71.2138297,Qu�Bec,G,24,Urban
G1B0A1,G1B,46.766475,-71.363761,Sainte-Foy,G,24,Urban
G1C0A1,G1C,46.876819,-71.158036,Qu�Bec,G,24,Urban
G1E0A1,G1E,46.854171,-71.208014,Beauport,G,24,Urban
G1G0A0,G1G,46.873919,-71.282249,Charlesbourg,G,24,Urban
G1H0A1,G1H,46.84305218,-71.2430483,QU�BEC,G,24,Urban
G1J0A1,G1J,46.84419,-71.240407,Qu�Bec,G,24,Urban
G1K0A1,G1K,46.817913,-71.221751,Qu�Bec,G,24,Urban
G1L0A1,G1L,46.833537,-71.260343,Qu�Bec,G,24,Urban
G1M0A1,G1M,46.817343,-71.265058,Vanier,G,24,Urban
G1N0A1,G1N,46.807048,-71.248291,Qu�Bec,G,24,Urban
G1P0A1,G1P,46.825943,-71.334134,QU�BEC,G,24,Urban
G1R0A1,G1R,46.811735,-71.214269,Qu�Bec,G,24,Urban
G1S0A1,G1S,46.798546,-71.242311,QU�BEC,G,24,Urban
G1T0A1,G1T,46.771964,-71.256576,Quebec,G,24,Urban
G1V0A1,G1V,46.79097528,-71.26385175,QU�BEC,G,24,Urban
G1W0A2,G1W,46.75388,-71.31949,QU�BEC,G,24,Urban
G1X0A1,G1X,46.812967,-71.230102,Qu�Bec,G,24,Urban
G1Y0A1,G1Y,46.760021,-71.350219,QU�BEC,G,24,Urban
G2A0A1,G2A,46.906103,-71.42991,QU�BEC,G,24,Urban
G2B0A1,G2B,46.75624,-71.362495,Qu�Bec,G,24,Urban
G2C0A1,G2C,46.827576,-71.333524,QU�BEC,G,24,Urban
G2E0A1,G2E,46.80830871,-71.36360577,L'Ancienne-Lorette,G,24,Urban
G2G0A1,G2G,46.764582,-71.399077,QU�BEC,G,24,Urban
G2H1A1,G2H,46.802391,-71.230792,Quebec,G,24,Urban
G2J0A1,G2J,46.840127,-71.279462,QU�BEC,G,24,Urban
G2K0A1,G2K,46.830649,-71.294758,Qu�Bec,G,24,Urban
G2L0A1,G2L,46.87918366,-71.25642811,QU�BEC,G,24,Urban
G2M0A1,G2M,46.9309,-71.316572,Qu�Bec,G,24,Urban
G2N0A1,G2N,46.853939,-71.21894,Beauport,G,24,Urban
G3A0A1,G3A,46.759821,-71.467617,Saint-Augustin-De-Desmaures,G,24,Urban
G3E0A1,G3E,46.876811,-71.335203,Qu�Bec,G,24,Urban
G3G0A1,G3G,46.87328626,-71.35759491,QU�BEC,G,24,Urban
G3H0A1,G3H,46.7451426,-71.68909251,Pont-Rouge,G,24,Urban
G3J0A1,G3J,46.865178,-71.445528,Val-B�Lair,G,24,Urban
G3K0A1,G3K,46.850042,-71.425566,Val-B�Lair,G,24,Urban
G3L0A1,G3L,46.997879,-71.87954,Saint-Raymond,G,24,Urban
G3M0A1,G3M,46.680265,-71.723785,Donnacona,G,24,Urban
G3Z0A1,G3Z,47.453429,-70.511213,Baie-Saint-Paul,G,24,Urban
G4A0A1,G4A,47.696337,-70.231415,Clermont,G,24,Urban
G4G4S8,G4G,46.101151,-71.297422,Thetford-Mines,G,24,Urban
G4R0A1,G4R,50.179161,-66.334031,SEPT-�LES,G,24,Urban
G4S1A1,G4S,50.231749,-66.389169,Sept-�Les,G,24,Urban
G4T0A1,G4T,47.25178183,-62.00751182,Millerand,G,24,Urban
G4V0A1,G4V,49.103997,-66.421851,Sainte-Anne-Des-Monts,G,24,Urban
G4W0A1,G4W,48.945267,-67.686617,Matane,G,24,Urban
G4X0A1,G4X,48.901929,-64.474517,GASP�,G,24,Urban
G4Z0A1,G4Z,49.218794,-68.159653,Baie-Comeau,G,24,Urban
G5A0A1,G5A,47.720976,-70.142887,La Malbaie,G,24,Urban
G5B0A3,G5B,50.0769534,-66.844785,Port-Cartier,G,24,Urban
G5C0A1,G5C,49.198744,-68.291702,Baie-Comeau,G,24,Urban
G5H0A1,G5H,48.595386,-68.191596,Mont-Joli,G,24,Urban
G5J0A1,G5J,48.4724624,-67.43254955,Amqui,G,24,Urban
G5L0A1,G5L,48.465035,-68.513504,Rimouski,G,24,Urban
G5M0A1,G5M,48.46030815,-68.4957967,Rimouski,G,24,Urban
G5N0A1,G5N,48.415084,-68.571564,Rimouski,G,24,Urban
G5R0A1,G5R,47.831527,-69.545337,RIVI�RE-DU-LOUP,G,24,Urban
G5T0A1,G5T,47.620249,-68.556084,Degelis,G,24,Urban
G5V0A1,G5V,46.9835004,-70.55034272,Montmagny,G,24,Urban
G5X0A1,G5X,46.229009,-70.771037,Beauceville,G,24,Urban
G5Y0A1,G5Y,46.12561462,-70.68482861,Saint-Georges,G,24,Urban
G5Z0A1,G5Z,46.09903915,-70.64358543,Saint-Georges,G,24,Urban
G6A0A1,G6A,46.12538622,-70.66482411,Saint-Georges,G,24,Urban
G6B0A1,G6B,45.538858,-70.844397,LAC-M�GANTIC,G,24,Urban
G6C0A1,G6C,46.7643261,-71.12858666,Pintendre,G,24,Urban
G6E0A1,G6E,46.439937,-71.000166,Sainte-Marie,G,24,Urban
G6G0A1,G6G,46.085583,-71.287496,Saint-Jean-De-Brebeuf,G,24,Urban
G6H0A1,G6H,46.103878,-71.321371,Thetford Mines,G,24,Urban
G6J0A1,G6J,46.636489,-71.317824,SAINT-�TIENNE-DE-LAUZON,G,24,Urban
G6K0A1,G6K,46.697273,-71.289038,SAINT-AMATEUR,G,24,Urban
G6L0A1,G6L,46.203951,-71.837358,Princeville,G,24,Urban
G6P0A1,G6P,46.04739,-71.91314,Victoriaville,G,24,Urban
G6R0A2,G6R,46.059528,-71.99134,Victoriaville,G,24,Urban
G6S0A1,G6S,46.051975,-71.919946,Victoriaville,G,24,Urban
G6T0A1,G6T,46.078697,-71.974205,Victoriaville,G,24,Urban
G6V0A1,G6V,46.82455,-71.150055,L�Vis,G,24,Urban
G6W0A1,G6W,46.70507,-71.216506,L�VIS,G,24,Urban
G6X0A1,G6X,46.7103701,-71.2631476,Charny,G,24,Urban
G6Z0A1,G6Z,46.678212,-71.208216,Saint-Jean-Chrysostome,G,24,Urban
G7A0A1,G7A,46.703938,-71.314064,Saint-Nicolas,G,24,Urban
G7B0A1,G7B,48.245357,-70.844347,La Baie,G,24,Urban
G7G1A1,G7G,48.457291,-71.058845,Chicoutimi,G,24,Urban
G7H0A1,G7H,48.420788,-71.066005,Chicoutimi,G,24,Urban
G7J0A1,G7J,48.417614,-71.094683,Chicoutimi,G,24,Urban
G7K1A1,G7K,48.399031,-71.113175,Chicoutimi,G,24,Urban
G7N0A1,G7N,48.321879,-71.133745,Laterri�Re,G,24,Urban
G7P0A3,G7P,48.5921922,-71.3373783,,G,24,Urban
G7S0A1,G7S,48.423165,-71.215138,Jonqui�Re,G,24,Urban
G7T1A1,G7T,48.410465,-71.210562,Jonqui�Re,G,24,Urban
G7X0A0,G7X,48.379228,-71.381867,Jonqui�Re,G,24,Urban
G7Y1A1,G7Y,48.397576,-71.26407,JONQUI�RE,G,24,Urban
G7Z0A1,G7Z,48.442263,-71.261672,Jonqui�Re,G,24,Urban
G8A0A1,G8A,48.404749,-71.316341,Jonquiere,G,24,Urban
G8B0A1,G8B,48.56623977,-71.63465919,Alma,G,24,Urban
G8C0A1,G8C,48.555019,-71.669219,Alma,G,24,Urban
G8E0A1,G8E,48.618023,-71.746732,Alma,G,24,Urban
G8G0A5,G8G,48.3853282,-71.837519,,G,24,Urban
G8H1A1,G8H,48.504403,-72.216518,Roberval,G,24,Urban
G8J0A1,G8J,48.59027223,-72.33254361,Saint-Prime,G,24,Urban
G8K0A1,G8K,48.714378,-72.409741,SAINT-F�LICIEN,G,24,Urban
G8L0A1,G8L,48.858632,-72.195772,Dolbeau-Mistassini,G,24,Urban
G8M0A1,G8M,48.883311,-72.445665,Albanel,G,24,Urban
G8N0A1,G8N,48.35759,-71.680345,H�BERTVILLE,G,24,Urban
G8P0A1,G8P,49.910721,-74.35772,Chibougamau,G,24,Urban
G8T0A1,G8T,46.37905362,-72.53297576,TROIS-RIVI�RES,G,24,Urban
G8V0A1,G8V,46.3548,-72.541648,Trois-Rivi�Res,G,24,Urban
G8W0A1,G8W,46.312976,-72.587766,Trois-Rivi�Res,G,24,Urban
G8Y0A1,G8Y,46.362962,-72.623416,Trois-Rivi�Res,G,24,Urban
G8Z0A3,G8Z,46.346292,-72.576605,Trois-Rivi�Res,G,24,Urban
G9A0A1,G9A,46.328129,-72.567077,Trois-Rivi�Res-Ouest,G,24,Urban
G9B0A1,G9B,46.319634,-72.612718,TROIS-RIVI�RES,G,24,Urban
G9C0A1,G9C,46.377799,-72.667221,TROIS-RIVI�RES,G,24,Urban
